Cidade,Toalha de rosto,Toalha de piso,Toalha de banho,Fronha,Lençol solteiro,Lençol casal,Lençol queen size,Lençol king size,Manta queen size,Edredom solteiro,Edredom casal,Edredom queen size,Edredom king size,Capa edredom solteiro,Capa edredom casal,Capa edredom queen size,Capa edredom king size,Cobertor queen size,Pano de prato,Pano de pia,Toalha de maquiagem
Santos,"R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 23,50","R$ 22,50","R$ 23,50","R$ 23,50","R$ 23,50","R$ 14,50","R$ 15,00","R$ 15,00","R$ 15,00",,,,
Balneário Piçarras,"R$ 2,25","R$ 2,25","R$ 2,50","R$ 2,50","R$ 2,92","R$ 2,92","R$ 2,92","R$ 2,92","R$ 15,00","R$ 23,67","R$ 32,67","R$ 41,00","R$ 37,67","R$ 12,33","R$ 12,33","R$ 14,00","R$ 14,00",,,,
Barra Velha,"R$ 2,25","R$ 2,25","R$ 2,50","R$ 2,50","R$ 2,92","R$ 2,92","R$ 2,92","R$ 2,92","R$ 15,00","R$ 23,67","R$ 32,67","R$ 41,00","R$ 37,67","R$ 12,33","R$ 12,33","R$ 14,00","R$ 14,00",,,,
Penha,"R$ 2,25","R$ 2,25","R$ 2,50","R$ 2,50","R$ 2,92","R$ 2,92","R$ 2,92","R$ 2,92","R$ 15,00","R$ 23,67","R$ 32,67","R$ 41,00","R$ 37,67","R$ 12,33","R$ 12,33","R$ 14,00","R$ 14,00",,,,
Mata de São João,"R$ 2,15","R$ 2,25","R$ 3,50","R$ 1,90","R$ 3,20","R$ 3,90","R$ 4,10","R$ 4,30","R$ 8,00","R$ 8,00","R$ 11,00","R$ 12,00","R$ 12,50","R$ 4,00","R$ 4,50","R$ 5,00","R$ 5,50",,,,
Porto de Pedras,"R$ 3,00","R$ 3,70","R$ 5,00","R$ 3,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 16,00","R$ 16,00","R$ 16,00","R$ 16,00",,,,
São Miguel dos Milagres,"R$ 3,00","R$ 3,70","R$ 5,00","R$ 3,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 16,00","R$ 16,00","R$ 16,00","R$ 16,00",,,,
Blumenau,"R$ 3,72","R$ 4,34","R$ 5,55","R$ 3,45","R$ 6,30","R$ 6,30","R$ 6,30","R$ 6,30","R$ 32,50","R$ 35,00","R$ 37,50","R$ 40,00","R$ 43,50","R$ 17,50","R$ 22,50","R$ 27,50","R$ 31,50",,,,
Passo de Camaragibe,"R$ 3,00","R$ 3,70","R$ 5,00","R$ 3,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 5,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 13,00","R$ 16,00","R$ 16,00","R$ 16,00","R$ 16,00",,,,
João Pessoa,"R$ 4,37","R$ 4,37","R$ 5,09","R$ 3,63","R$ 8,00","R$ 8,00","R$ 8,00","R$ 8,00","R$ 25,86","R$ 12,93","R$ 12,83","R$ 25,86","R$ 25,86","R$ 12,83","R$ 12,83","R$ 12,83","R$ 12,83",,,,
Maraú,"R$ 1,88","R$ 2,82","R$ 5,18","R$ 0,94","R$ 7,02","R$ 7,52","R$ 9,36","R$ 9,36","R$ 17,85","R$ 24,43","R$ 30,55","R$ 30,55","R$ 30,55","R$ 7,08","R$ 7,08","R$ 7,08","R$ 7,08",,,,
Florianópolis,"R$ 2,75","R$ 3,53","R$ 4,79","R$ 3,07","R$ 6,20","R$ 6,98","R$ 8,54","R$ 9,33","R$ 16,61","R$ 30,65","R$ 36,60","R$ 41,76","R$ 42,54","R$ 12,54","R$ 16,46","R$ 16,46","R$ 18,34",,,,
Itacaré,"R$ 4,00","R$ 6,50","R$ 10,50","R$ 5,00","R$ 15,00","R$ 17,50","R$ 22,50","R$ 25,00","R$ 27,50","R$ 50,00","R$ 65,00","R$ 77,50","R$ 80,00","R$ 26,50","R$ 39,00","R$ 39,00","R$ 45,00",,,,
Salvador,"R$ 4,40","R$ 5,90","R$ 9,30","R$ 4,50","R$ 12,00","R$ 14,00","R$ 17,00","R$ 19,00","R$ 28,00","R$ 31,50","R$ 34,00","R$ 35,00","R$ 35,00","R$ 11,00","R$ 12,00","R$ 14,00","R$ 15,00",,,,
Itapema,"R$ 1,20","R$ 1,50","R$ 2,20","R$ 1,00","R$ 2,50","R$ 2,80","R$ 2,80","R$ 2,80","R$ 7,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 15,00","R$ 15,00","R$ 15,00","R$ 15,00",,,,
Tijucas,"R$ 1,20","R$ 1,50","R$ 2,20","R$ 1,00","R$ 2,50","R$ 2,80","R$ 2,80","R$ 2,80","R$ 7,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 15,00","R$ 15,00","R$ 15,00","R$ 15,00",,,,
Porto Belo,"R$ 1,20","R$ 1,50","R$ 2,20","R$ 1,00","R$ 2,50","R$ 2,80","R$ 2,80","R$ 2,80","R$ 7,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 25,00","R$ 15,00","R$ 15,00","R$ 15,00","R$ 15,00",,,,
Indaial,"R$ 2,44","R$ 3,68","R$ 6,10","R$ 2,90","R$ 4,59","R$ 4,59","R$ 4,59","R$ 4,59","R$ 35,00","R$ 35,00","R$ 40,00","R$ 45,00","R$ 52,00","R$ 20,00","R$ 30,00","R$ 40,00","R$ 48,00",,,,
Trancoso,"R$ 2,80","R$ 4,55","R$ 7,35","R$ 3,50","R$ 10,50","R$ 12,25","R$ 15,75","R$ 17,50","R$ 19,25","R$ 35,00","R$ 45,50","R$ 54,25","R$ 56,00","R$ 18,55","R$ 27,30","R$ 27,30","R$ 31,50",,,,
Porto Alegre,"R$ 3,25","R$ 3,50","R$ 5,25","R$ 3,25","R$ 6,00","R$ 8,50","R$ 8,50","R$ 9,00","R$ 18,50","R$ 23,50","R$ 26,00","R$ 27,00","R$ 30,50","R$ 14,50","R$ 16,75","R$ 18,25","R$ 20,25",,,,
Campos do Jordão,"R$ 3,00","R$ 3,00","R$ 6,00","R$ 3,00","R$ 6,00","R$ 6,00","R$ 6,00","R$ 6,00","R$ 25,00","R$ 25,00","R$ 40,00","R$ 50,00","R$ 85,00","R$ 15,00","R$ 15,00","R$ 15,00","R$ 15,00",,,,
Guarapari,"R$ 3,67","R$ 3,67","R$ 7,67","R$ 3,00","R$ 7,17","R$ 8,00","R$ 8,83","R$ 9,67","R$ 27,33","R$ 31,33","R$ 38,67","R$ 47,33","R$ 51,00","R$ 13,00","R$ 15,33","R$ 16,00","R$ 16,50",,,,
Curitiba,"R$ 2,76","R$ 3,71","R$ 5,97","R$ 3,14","R$ 7,67","R$ 9,37","R$ 12,01","R$ 13,45","R$ 17,90","R$ 27,90","R$ 37,07","R$ 44,30","R$ 45,24","R$ 16,02","R$ 23,74","R$ 24,74","R$ 28,51",,,,
Recife,"R$ 3,17","R$ 3,17","R$ 5,00","R$ 2,37","R$ 6,13","R$ 7,80","R$ 9,75","R$ 9,75","R$ 23,67","R$ 16,67","R$ 20,00","R$ 24,67","R$ 27,00","R$ 12,60","R$ 14,93","R$ 16,27","R$ 17,60",,,,
